1994 30328 
1995 59886 
1996 57744 
1997 57088 
1998 57394 
1999 57937 
2000 56444 
2001 53526 
2002 53250 
2003 52312 
2004 50805 
2005 52330 
2006 48122 
2007 48072 
2008 49817 
2009 48931 
2010 47668 
2011 48101 
2012 46993 
2013 46798 
2014 48111 
